directly_follows,count
$START$->initialize,48
$START$->mail income,38571
$START$->mail valid,5188
$START$->plan,2
abort external->begin preparations,1441
abort external->finish preparations,4415
abort external->performed,6
abort external->prepare external,1654
abort external->prepare offline,12
abort external->save,2
abort payment->$END$,6
abort payment->begin editing,3
abort payment->begin payment,34156
abort payment->finish editing,3
abort payment->insert document,12
abort payment->remove document,45
abort payment->restart editing,1
abort payment->revoke decision,9
abort payment->save,57
abort payment->take original document,1
approve->approve,8
approve->begin admissibility check,16
approve->begin editing,485
approve->calculate,346
approve->decide,1
approve->insert document,4
approve->revoke approval,11
approve->save,29
begin admissibility check->$END$,27
begin admissibility check->begin admissibility check,7
begin admissibility check->begin editing,10
begin admissibility check->begin payment,1
begin admissibility check->calculate,488
begin admissibility check->check admissibility,1112
begin admissibility check->finish editing,1
begin admissibility check->initialize,1
begin admissibility check->insert document,1
begin admissibility check->remove document,2
begin admissibility check->revoke approval,1
begin admissibility check->save,225
begin admissibility check->withdraw,56
begin editing->$END$,135
begin editing->approve,3
begin editing->begin admissibility check,13
begin editing->begin editing,7726
begin editing->begin payment,1
begin editing->begin preparations,1
begin editing->calculate,263934
begin editing->calculate protocol,63
begin editing->check,161
begin editing->clear,3
begin editing->create,8478
begin editing->decide,23
begin editing->discard,26
begin editing->finish editing,64262
begin editing->finish payment,6
begin editing->finish pre-check,16615
begin editing->finish preparations,16
begin editing->initialize,7644
begin editing->insert document,5382
begin editing->performed,3
begin editing->performed offline,5
begin editing->plan,12
begin editing->prepare offline,3
begin editing->remove document,60
begin editing->restart editing,6
begin editing->revoke decision,15
begin editing->save,22516
begin editing->take original document,12
begin editing->withdraw,9
begin editing from refused->begin admissibility check,2
begin editing from refused->begin editing from refused,29
begin editing from refused->calculate,107
begin editing from refused->decide,1
begin editing from refused->finish editing,4
begin editing from refused->insert document,30
begin editing from refused->refuse,1
begin editing from refused->remove document,3
begin editing from refused->revoke approval,23
begin editing from refused->save,3
begin payment->abort payment,32347
begin payment->begin admissibility check,1
begin payment->begin editing,34
begin payment->change department,1
begin payment->check,6
begin payment->discard,1
begin payment->finish editing,95
begin payment->finish payment,15108
begin payment->initialize,3
begin payment->insert document,31144
begin payment->plan,1
begin payment->remove document,5
begin payment->restart editing,23
begin payment->save,1431
begin preparations->abort external,1840
begin preparations->begin editing,22
begin preparations->begin preparations,2
begin preparations->calculate,24
begin preparations->check,5
begin preparations->finish editing,1
begin preparations->finish pre-check,1
begin preparations->finish preparations,2142
begin preparations->initialize,549
begin preparations->insert document,3
begin preparations->performed,935
begin preparations->plan,5
begin preparations->prepare external,5395
begin preparations->prepare offline,1783
begin preparations->restart editing,1
begin preparations->save,502
calculate->$END$,514
calculate->abort external,1
calculate->approve,342
calculate->begin admissibility check,128
calculate->begin editing,36343
calculate->begin editing from refused,71
calculate->begin preparations,6
calculate->calculate,89431
calculate->calculate protocol,4
calculate->cancel offline,10
calculate->check,21
calculate->check admissibility,586
calculate->clear,8
calculate->correction GFM17,1
calculate->create,11
calculate->decide,418
calculate->discard,4
calculate->finish editing,304268
calculate->finish pre-check,3337
calculate->finish preparations,444
calculate->initialize,4908
calculate->insert document,1754
calculate->mail income,1
calculate->performed,1497
calculate->performed offline,36
calculate->plan,42
calculate->prepare offline,29
calculate->refuse,135
calculate->remove document,3553
calculate->restart editing,59
calculate->revoke approval,3
calculate->revoke decision,45
calculate->revoke withdrawal,7
calculate->save,17720
calculate->take original document,91
calculate->withdraw,313
calculate protocol->$END$,1
calculate protocol->begin editing,3
calculate protocol->calculate protocol,1182
calculate protocol->finish editing,8
calculate protocol->insert document,5
calculate protocol->save,182
cancel offline->begin editing,10
cancel offline->calculate,4
cancel offline->finish preparations,34
cancel offline->initialize,15
cancel offline->insert document,1
cancel offline->prepare offline,122
cancel offline->save,10
change department->$END$,6
