Activity,Count
"('abort external', 0.0)",18
"('abort external', 1.0)",2
"('abort external', 4.0)",1
"('abort external', 5.0)",13
"('abort external', 6.0)",867
"('abort external', 7.0)",477
"('abort external', 8.0)",135
"('abort external', 9.0)",746
"('abort external', 10.0)",760
"('abort external', 11.0)",1823
"('abort external', 12.0)",785
"('abort external', 13.0)",3
"('abort external', 14.0)",22
"('abort external', 15.0)",19
"('abort external', 16.0)",658
"('abort payment', 0.0)",11
"('abort payment', 1.0)",5
"('abort payment', 2.0)",3
"('abort payment', 3.0)",141
"('abort payment', 4.0)",7
"('abort payment', 5.0)",331
"('abort payment', 6.0)",330
"('abort payment', 7.0)",3
"('abort payment', 8.0)",1962
"('abort payment', 9.0)",4407
"('abort payment', 10.0)",4401
"('abort payment', 11.0)",10331
"('abort payment', 12.0)",7472
"('abort payment', 13.0)",4473
"('abort payment', 14.0)",2
"('abort payment', 15.0)",101
"('approve', 0.0)",436
"('approve', 1.0)",37
"('approve', 2.0)",43
"('approve', 3.0)",28
"('approve', 4.0)",15
"('approve', 5.0)",16
"('approve', 6.0)",9
"('approve', 7.0)",15
"('approve', 8.0)",6
"('approve', 9.0)",1
"('approve', 10.0)",3
"('approve', 11.0)",17
"('approve', 12.0)",4
"('approve', 13.0)",5
"('approve', 14.0)",6
"('approve', 15.0)",8
"('approve', 16.0)",2
"('approve', 17.0)",9
"('approve', 18.0)",2
"('approve', 19.0)",1
"('begin admissibility check', 0.0)",431
"('begin admissibility check', 1.0)",130
"('begin admissibility check', 2.0)",89
"('begin admissibility check', 3.0)",58
"('begin admissibility check', 4.0)",52
"('begin admissibility check', 5.0)",33
"('begin admissibility check', 6.0)",34
"('begin admissibility check', 7.0)",28
"('begin admissibility check', 8.0)",11
"('begin admissibility check', 9.0)",4
"('begin admissibility check', 10.0)",2
"('begin admissibility check', 11.0)",54
"('begin admissibility check', 12.0)",28
"('begin admissibility check', 13.0)",35
"('begin admissibility check', 14.0)",80
"('begin admissibility check', 15.0)",78
"('begin admissibility check', 16.0)",141
"('begin admissibility check', 17.0)",124
"('begin admissibility check', 18.0)",90
"('begin admissibility check', 19.0)",33
"('begin admissibility check', 20.0)",3
"('begin editing', -inf)",43680
"('begin editing', 0.0)",35244
"('begin editing', 1.0)",1074
"('begin editing', 2.0)",853
"('begin editing', 3.0)",742
"('begin editing', 4.0)",673
"('begin editing', 5.0)",771
"('begin editing', 6.0)",1175
